Row Labels,Flags,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
South Africa,https://www.countryflags.io/za/flat/64.png,2,2,2,2,2,2,2,2,2,800,"1,5",2,"2,5",3,"2,836","3,459","3,459","4,561","5,025",12,"5,5","6,631","7,097","8,301","9,218","10,663","11,507","11,967",13,"12,441","11,128","9,801","10,532","11,316","11,975","9,062","8,207","13,01","12,077","12,514","12,671","12,5","12,143","4,279","21,78","3,328","6,073","3,29","1,743","1,647","1,795",870,"2,18","1,615","1,863","1,776","1,628","1,469"
Sri Lanka,https://www.countryflags.io/lk/flat/64.png,"206,488","211,85","219,798","218,513","228,236","222,312","220,742","224,803","219,639","212,21","217,773","208,858","211,285","204,037","213,928","196,606","208,572","198,78","208,417","191,375","210,148","187,816","179,287","208,058","214,094","211,276","213,327","226,952","206,987","233,165","240,747","178,87","231,871","242,214","245,961","258,427","276,861","280,056","283,76","305,84","295,09",310,"303,23","308,09","317,2","310,8","305,22","318,7",290,"331,4","327,5",330,"340,23","338,032","320,686","292,574","307,72","303,84"
Thailand,https://www.countryflags.io/th/flat/64.png,,,,,,,,,,,,50,100,150,150,200,400,600,700,800,1,"1,5",2,2,3,"2,5","3,4","4,959","5,033","6,5","8,5",11,"13,5",16,"18,5",22,25,28,30,"32,327","33,494","36,321","43,333","51,817","51,57","53,782","57,362","61,557","63,707","67,241","73,32","68,774","68,013","40,324","49,054","54,746","48,041","50,614"
Turkey,https://www.countryflags.io/tr/flat/64.png,"5,45","8,259","10,1","10,035",13,23,"21,786","27,557","34,373","33,431","33,585","46,5","43,202","42,781","55,572","59,547","77,592","86,206","101,955","95,889","42,606","68,038","100,982","113,701","137,116","148,305","140,68","153,16","136,53","122,754","136,887","144,025","117,099","134,35","102,713","114,54","139,523","177,85","199,155","138,77","142,9",135,"153,8","201,663","217,54","201,866","206,16","198,046","198,601",235,"221,6",225,"212,4","226,8","239,028",243,234,270
Uganda,https://www.countryflags.io/ug/flat/64.png,"5,1","6,319","6,17","7,615","8,366","11,215","11,242","15,163","17,627","18,2",18,"23,4",22,22,"18,4","15,4","15,2","10,9","1,8","1,5","1,7","2,58","3,054","5,214","5,758","3,335","3,511","3,512","4,658","6,704","8,877","9,504","12,102","13,462","12,692","17,418","21,075","25,901","24,739","29,236","32,857","39,476","36,895","35,706","37,734","34,334","44,923","42,808","48,663","49,182","35,194","57,939","60,969","61,376","60,645","62,705","63,667","62,339"
Tanzania,https://www.countryflags.io/tz/flat/64.png,"4,459","4,31","5,019","4,812","5,682","6,911","7,399","8,292","8,8","8,492","9,182","11,613","13,291","12,258","13,873","13,049","18,45","17,009","17,307","16,418","15,537","17,551","15,195","16,79","15,537","14,064","17,2","15,944","20,18","18,09","19,53",22,"22,4","24,8","24,3",24,"25,5","21,9",25,"23,6","25,5","24,7","27,6","30,1","30,7","30,3","31,3","34,8","34,17","33,16",32,"32,812","33,7","33,5","35,749","36,561","36,712","36,854"
USSR,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/510px-Flag_of_the_Soviet_Union.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,https://www.countryflags.io/vn/flat/64.png,"7,5","7,5",8,9,"10,6",12,9,"13,5",14,"14,7","15,5",15,15,17,18,"17,251","18,299","20,04","20,297","21,014","21,178","25,378","24,609","27,428","28,222","30,006","28,99","29,743","30,218","32,247","33,1","36,2","37,7",42,"40,2","46,8","52,2","56,6","70,3","69,9","75,7","94,2","104,3","119,5","132,525",151,164,"173,5","185,7","198,466","206,6","211,5","217,7","228,36",236,240,260,270
Zambia,https://www.countryflags.io/zm/flat/64.png,,,,,,,,,,,,,,24,68,10,82,144,249,314,363,402,444,463,375,468,373,546,550,560,570,500,530,500,450,500,550,650,1,850,550,750,662,800,773,750,777,801,821,843,864,900,900,910,930,929,941,953
Zimbabwe,https://www.countryflags.io/zw/flat/64.png,"1,1","1,3","1,223","1,392","1,608","2,268","2,896","3,008","3,63","3,945","4,269","5,202","4,565","5,893","6,884","5,983","6,171","8,63","9,791","9,661","9,916","10,602","10,551","11,807","14,085","15,679","14,999","16,612","17,948",17,"14,472","9,214","14,091","13,437",15,"16,822","17,098","17,5","18,53",22,"22,4",22,"22,2","18,724","22,2",22,"22,3","22,85","23,59","23,45","23,733","24,017","24,3","24,815","25,755","25,688","25,991","26,293"
